"yvar","variable","importance"
"OGI","year",24819.1441816677
"OGI","year",24240.2243096147
"OGI","year",26121.2595325613
"OGI","year",23831.0767615991
"OGI","year",22024.2408783034
"OGI","year",22740.7115111004
"OGI","year",22953.4670767054
"OGI","year",25795.7147442239
"OGI","year",24342.6115619068
"OGI","year",24427.615540556
"OGMn","year",39759.3239997399
"OGMn","year",30153.8966964323
"OGMn","year",33786.3460372785
"OGMn","year",34198.090357867
"OGMn","year",37265.40600165
"OGMn","year",37751.1444422664
"OGMn","year",39097.9140268465
"OGMn","year",35140.8278925099
"OGMn","year",39658.3671572445
"OGMn","year",39763.8583775929
"GSL.50","year",1332.47646293667
"GSL.50","year",1287.03404440789
"GSL.50","year",1471.9288598239
"GSL.50","year",1326.70995799995
"GSL.50","year",1282.16951837716
"GSL.50","year",1164.94417761574
"GSL.50","year",1292.81232989244
"GSL.50","year",1260.65899034932
"GSL.50","year",1231.93524848345
"GSL.50","year",1474.81304164508
"EVImax","year",0.155890768440567
"EVImax","year",0.14362315622071
"EVImax","year",0.125622227873627
"EVImax","year",0.121120678952574
"EVImax","year",0.125864504223832
"EVImax","year",0.113820861708525
"EVImax","year",0.121002748690677
"EVImax","year",0.151126157049024
"EVImax","year",0.118574155562509
"EVImax","year",0.147322969793627
"OGI","elevation",6159.26980035957
"OGI","elevation",6788.64555083679
"OGI","elevation",5766.15552663771
"OGI","elevation",5905.84103459685
"OGI","elevation",6553.48429580931
"OGI","elevation",6091.27178330014
"OGI","elevation",6832.55269121214
"OGI","elevation",6661.00128696034
"OGI","elevation",6276.60818802842
"OGI","elevation",6127.31642140169
"OGMn","elevation",13838.3819121774
"OGMn","elevation",13578.9455148027
"OGMn","elevation",13502.18027874
"OGMn","elevation",12552.9502556974
"OGMn","elevation",13652.8050970906
"OGMn","elevation",13403.7323117906
"OGMn","elevation",14277.0919131315
"OGMn","elevation",13209.4134879995
"OGMn","elevation",12703.9385670909
"OGMn","elevation",12072.2212690298
"GSL.50","elevation",21299.5947017103
"GSL.50","elevation",17992.5414153847
"GSL.50","elevation",19203.8255355851
"GSL.50","elevation",20173.9561187048
"GSL.50","elevation",19360.9510193504
"GSL.50","elevation",21239.1464791936
"GSL.50","elevation",18417.8517711653
"GSL.50","elevation",20303.9048092476
"GSL.50","elevation",21344.3047250377
"GSL.50","elevation",19692.4711638247
"EVImax","elevation",0.182698154462692
"EVImax","elevation",0.188652569987735
"EVImax","elevation",0.19559600575826
"EVImax","elevation",0.19343677174163
"EVImax","elevation",0.214362210496729
"EVImax","elevation",0.203977328723343
"EVImax","elevation",0.184105321560973
"EVImax","elevation",0.206043830211593
"EVImax","elevation",0.196220721355267
"EVImax","elevation",0.186682651290359
"OGI","cos_aspect",1063.54869618115
"OGI","cos_aspect",1059.7623517704
"OGI","cos_aspect",913.736104388621
"OGI","cos_aspect",1118.56401958442
"OGI","cos_aspect",1002.1859529475
"OGI","cos_aspect",1034.36309262784
"OGI","cos_aspect",1113.98720203661
"OGI","cos_aspect",1111.93373455397
"OGI","cos_aspect",966.321104668063
"OGI","cos_aspect",1020.83407661815
"OGMn","cos_aspect",20847.737797008
"OGMn","cos_aspect",17981.0322566468
"OGMn","cos_aspect",16808.1682014545
"OGMn","cos_aspect",18618.6438165583
"OGMn","cos_aspect",21353.588926843
"OGMn","cos_aspect",20552.3016813618
"OGMn","cos_aspect",20227.0608167249
"OGMn","cos_aspect",21413.2627508459
"OGMn","cos_aspect",18619.118927525
"OGMn","cos_aspect",19790.4022730692
"GSL.50","cos_aspect",4651.31065855891
"GSL.50","cos_aspect",4402.98285906894
"GSL.50","cos_aspect",4885.0055489242
"GSL.50","cos_aspect",4834.48397842782
"GSL.50","cos_aspect",5090.48692773744
"GSL.50","cos_aspect",4765.92617893336
"GSL.50","cos_aspect",5354.19197669616
"GSL.50","cos_aspect",5230.02119197785
"GSL.50","cos_aspect",4796.76700394104
"GSL.50","cos_aspect",5176.65087547558
"EVImax","cos_aspect",0.135224607470075
"EVImax","cos_aspect",0.147267962456302
"EVImax","cos_aspect",0.13769734438148
"EVImax","cos_aspect",0.160395058559966
"EVImax","cos_aspect",0.150991122945155
"EVImax","cos_aspect",0.161267247201338
"EVImax","cos_aspect",0.146639316825307
"EVImax","cos_aspect",0.14742191045811
"EVImax","cos_aspect",0.140436902511027
"EVImax","cos_aspect",0.137991804871732
"OGI","slope",2149.69373825716
"OGI","slope",1867.07639154547
"OGI","slope",1971.92980450861
"OGI","slope",1870.14739694131
"OGI","slope",1879.82066245149
"OGI","slope",1919.6609692304
"OGI","slope",2220.50850775352
"OGI","slope",1933.58149728435
"OGI","slope",1777.77936536297
"OGI","slope",1753.12535359891
"OGMn","slope",4222.90943579328
"OGMn","slope",4214.4023875943
"OGMn","slope",3912.83277503959
"OGMn","slope",3976.54747913379
"OGMn","slope",4278.81588426495
"OGMn","slope",4493.09396401149
"OGMn","slope",3880.99421118007
"OGMn","slope",4366.99484685805
"OGMn","slope",4283.1939336658
"OGMn","slope",4167.4280786666
"GSL.50","slope",3036.65065229253
"GSL.50","slope",2869.21257762299
"GSL.50","slope",2797.21491652165
"GSL.50","slope",2626.8582314573
"GSL.50","slope",2961.90160340277
"GSL.50","slope",2868.38627960442
"GSL.50","slope",3075.21859678052
"GSL.50","slope",3001.49752949938
"GSL.50","slope",2916.91711813504
"GSL.50","slope",3261.18325918243
"EVImax","slope",0.131862966504004
"EVImax","slope",0.142734473981293
"EVImax","slope",0.133814131525241
"EVImax","slope",0.138853104190429
"EVImax","slope",0.139215420995862
"EVImax","slope",0.144879006728172
"EVImax","slope",0.151400656533434
"EVImax","slope",0.127401680939797
"EVImax","slope",0.144759193107428
"EVImax","slope",0.119192854109345
"OGI","height_canopy",908.210300007594
"OGI","height_canopy",881.79260953114
"OGI","height_canopy",821.002067530631
"OGI","height_canopy",834.170684119417
"OGI","height_canopy",833.102590910172
"OGI","height_canopy",814.424368640505
"OGI","height_canopy",816.159392562222
"OGI","height_canopy",835.006325535737
"OGI","height_canopy",817.18232895019
"OGI","height_canopy",792.782623044954
"OGMn","height_canopy",7201.39450653719
"OGMn","height_canopy",6421.04360005121
"OGMn","height_canopy",5207.134245094
"OGMn","height_canopy",5245.34449627511
"OGMn","height_canopy",6936.00535067499
"OGMn","height_canopy",6373.82042537187
"OGMn","height_canopy",5935.27040202701
"OGMn","height_canopy",6533.41321872811
"OGMn","height_canopy",5574.58562666921
"OGMn","height_canopy",5809.54370095637
"GSL.50","height_canopy",8923.86695336444
"GSL.50","height_canopy",7654.84229237214
"GSL.50","height_canopy",9001.49835114398
"GSL.50","height_canopy",8430.7996804631
"GSL.50","height_canopy",9408.96570338777
"GSL.50","height_canopy",9280.81406626193
"GSL.50","height_canopy",7277.24378889658
"GSL.50","height_canopy",9277.85458519966
"GSL.50","height_canopy",8488.62309004859
"GSL.50","height_canopy",8550.86809892353
"EVImax","height_canopy",0.29533643872492
"EVImax","height_canopy",0.239792182039346
"EVImax","height_canopy",0.297903449805472
"EVImax","height_canopy",0.2878568715676
"EVImax","height_canopy",0.264602026682555
"EVImax","height_canopy",0.265905389440905
"EVImax","height_canopy",0.236579806407845
"EVImax","height_canopy",0.276417381906477
"EVImax","height_canopy",0.259199975840194
"EVImax","height_canopy",0.26503205657936
"OGI","cytotype_fraction_diploid",697.871700236555
"OGI","cytotype_fraction_diploid",640.747062795517
"OGI","cytotype_fraction_diploid",643.519597425918
"OGI","cytotype_fraction_diploid",691.423421023438
"OGI","cytotype_fraction_diploid",661.280416218137
"OGI","cytotype_fraction_diploid",768.742793816403
"OGI","cytotype_fraction_diploid",726.450389777092
