"yvar","variable","r2"
"OGI","value",0.90798152540581
"OGI","value",0.913055114732051
"OGI","value",0.910736223981558
"OGI","value",0.911926243520032
"OGI","value",0.908232552832195
"OGI","value",0.909931128031163
"OGI","value",0.909820396447398
"OGI","value",0.906868687110279
"OGI","value",0.910428744148957
"OGI","value",0.912277460506843
"OGMn","value",0.790090628558074
"OGMn","value",0.797580796985392
"OGMn","value",0.795807795852498
"OGMn","value",0.78421124428641
"OGMn","value",0.787788920438298
"OGMn","value",0.790939034800137
"OGMn","value",0.784802969288378
"OGMn","value",0.809373148932847
"OGMn","value",0.762258568975457
"OGMn","value",0.772216840121564
"GSL.50","value",0.795261692275626
"GSL.50","value",0.789204769386285
"GSL.50","value",0.796642939558396
"GSL.50","value",0.788985203965189
"GSL.50","value",0.803887255221979
"GSL.50","value",0.778206561670104
"GSL.50","value",0.788108872801449
"GSL.50","value",0.782953506303574
"GSL.50","value",0.797858844056807
"GSL.50","value",0.781986300000735
"EVImax","value",0.64893297175984
"EVImax","value",0.635074377052455
"EVImax","value",0.64249042853796
"EVImax","value",0.635533050085225
"EVImax","value",0.639805200942815
"EVImax","value",0.648162027452883
"EVImax","value",0.636624013362932
"EVImax","value",0.649306895183069
"EVImax","value",0.6483070903527
"EVImax","value",0.622658556341346
